==================================================
     aja_ml_2002_47.tasak.a014.sol
      DCT: 2002-11-21
==================================================
 s0  [t1 21.11.2002 ]
 s1  Keskkonnainspektorid [e1 peavad ] [e2 hakkama ] omavolilisi ehitisi [e3 lammutama ]
     e1 "peavad"  OVERLAP-OR-AFTER  DCT 
     e1 "peavad"  VAGUE  e2 "hakkama" 
     e2 "hakkama"  AFTER  DCT 
     e2 "hakkama"  BEFORE-OR-OVERLAP  e3 "lammutama" 
     e2 "hakkama"  OVERLAP-OR-AFTER  e4 "võttis" 
     e3 "lammutama"  AFTER  DCT 
     e3 "lammutama"  AFTER  e4 "võttis" 

 s2  Riigikogu [e4 võttis ] [t2 eelmisel kolmapäeval ] vastu uue [e5 planeerimisseaduse ] , mis [e6 annab ] keskkonnainspektsioonile [t3 uuest aastast ] [e7 õiguse ] [e8 sundlammutada ] looduskaitsealadele ning ranna- ja kaldakaitsevööndisse ebaseaduslikult [e9 püstitatud ] ehitisi .
     e4 "võttis"  IS_INCLUDED  t2 "eelmisel kolmapäeval" 
     e4 "võttis"  BEFORE  DCT 
     e4 "võttis"  BEFORE  e6 "annab" 
     e4 "võttis"  VAGUE  e5 "planeerimisseaduse" 
     e4 "võttis"  IS_INCLUDED  e11 "on õigus" 
     e4 "võttis"  IS_INCLUDED  e12 "kasuta" 
     e5 "planeerimisseaduse"  BEFORE-OR-OVERLAP  DCT 
     e6 "annab"  OVERLAP-OR-AFTER  t3 "uuest aastast" 
     e6 "annab"  AFTER  DCT 
     e6 "annab"  BEFORE-OR-OVERLAP  e7 "õiguse" 
     e7 "õiguse"  AFTER  DCT 
     e7 "õiguse"  BEFORE-OR-OVERLAP  e8 "sundlammutada" 
     e8 "sundlammutada"  AFTER  DCT 
     e8 "sundlammutada"  AFTER  e9 "püstitatud" 
     e9 "püstitatud"  INCLUDES  DCT 

 s3  [t4 Praeguse ] [e10 seaduse ] järgi [e11 on ] see [e11 õigus ] kohalikel omavalitsustel , aga enamasti nad seda ei [e12 kasuta ] .
     e10 "seaduse"  SIMULTANEOUS  t4 "Praeguse" 
     e10 "seaduse"  INCLUDES  DCT 
     e10 "seaduse"  SIMULTANEOUS  e11 "on õigus" 
     e11 "on õigus"  INCLUDES  DCT 
     e11 "on õigus"  INCLUDES  e12 "kasuta" 
     e11 "on õigus"  VAGUE  e13 "on" ka SIMULTANEOUS
     e12 "kasuta"  VAGUE  DCT 
     e12 "kasuta"  VAGUE  e13 "on" ka SIMULTANEOUS

 s4  Ehituskeeluvöönd [e13 on ] meresaartel 200 , mandril 100 ja siseveekogude ääres 50 m veepiirist .
     e13 "on"  INCLUDES  DCT 
