==================================================
     aja_pm_2000_10_04.tasak.a010.sol
      DCT: 2000-10-04
==================================================
 s0  Ehitusettevõtja Rašid Šabanov , kes [e1 kavatseb ] 2000 dollariga taskus [e2 seigelda ] Austraaliasse ja tagasi , [e3 otsib ] endale reisikaaslasi .
     e1 "kavatseb"  INCLUDES  DCT 
     e1 "kavatseb"  INCLUDES  e2 "seigelda" 
     e1 "kavatseb"  INCLUDES  e3 "otsib" 
     e2 "seigelda"  AFTER  DCT 
     e2 "seigelda"  AFTER  e3 "otsib" 
     e3 "otsib"  INCLUDES  DCT 
     e3 "otsib"  SIMULTANEOUS  e5 "soovib" 

 s1  Rõõmsameelne Šabanov , kelle firma Alpin Grupp [e4 remondib ] kõrgeid ehitisi , kirikutorne ja korstnaid , [e5 soovib ] Tartust [e6 teele ] [e6 asuda ] [t1 oktoobri lõpus ] ning [e7 kulgeda ] [e8 hääletades ] ja õnnele [e9 lootes ] läbi Venemaa , Turkmeenia , Iraani , Pakistani , India ja Indoneesia rohelisele mandrile - Austraaliasse .
     e4 "remondib"  INCLUDES  DCT 
     e4 "remondib"  VAGUE  e5 "soovib" 
     e5 "soovib"  INCLUDES  DCT 
     e5 "soovib"  INCLUDES  e6 "teele asuda" 
     e5 "soovib"  BEFORE  e12 "kulub" 
     e6 "teele asuda"  IS_INCLUDED  t1 "oktoobri lõpus" 
     e6 "teele asuda"  AFTER  DCT 
     e6 "teele asuda"  BEFORE-OR-OVERLAP  e7 "kulgeda" 
     e7 "kulgeda"  AFTER  DCT 
     e7 "kulgeda"  SIMULTANEOUS  e8 "hääletades" 
     e7 "kulgeda"  SIMULTANEOUS  e9 "lootes" 
     e8 "hääletades"  AFTER  DCT 
     e8 "hääletades"  SIMULTANEOUS  e9 "lootes" 
     e9 "lootes"  AFTER  DCT 

 s2  [t2 Neljakuuliseks ] [e10 kavandatud ] [e11 reisist ] pool [e12 kulub ] [e13 tagasiteele ] , mida [e14 peavad ] muuhulgas [e15 vürtsitama ] [e16 põiked ] Taisse ja Tiibetisse .
     e10 "kavandatud"  BEFORE  t2 "Neljakuuliseks" 
     e10 "kavandatud"  BEFORE  DCT 
     e10 "kavandatud"  BEFORE  e11 "reisist" 
     e10 "kavandatud"  BEFORE  e12 "kulub" 
     e11 "reisist"  SIMULTANEOUS  t2 "Neljakuuliseks" 
     e11 "reisist"  AFTER  DCT 
     e11 "reisist"  INCLUDES  e12 "kulub" 
     e12 "kulub"  AFTER  DCT 
     e12 "kulub"  INCLUDES  e15 "vürtsitama" 
     e12 "kulub"  SIMULTANEOUS  e13 "tagasiteele" 
     e12 "kulub"  OVERLAP-OR-AFTER  e17 "kavatseb" 
     e13 "tagasiteele"  AFTER  DCT 
     e14 "peavad"  OVERLAP-OR-AFTER  DCT 
     e14 "peavad"  BEFORE-OR-OVERLAP  e15 "vürtsitama" 
     e15 "vürtsitama"  AFTER  DCT 
     e15 "vürtsitama"  OVERLAP-OR-AFTER  e16 "põiked" 
     e16 "põiked"  AFTER  DCT 

 s3  Eesti piiridesse [e17 kavatseb ] reisimees Šabanov tagasi [e18 jõuda ] [t3 tuleva aasta 3. märtsil ] .
     e17 "kavatseb"  INCLUDES  DCT 
     e17 "kavatseb"  INCLUDES  e18 "jõuda" 
     e17 "kavatseb"  BEFORE-OR-OVERLAP  e19 "saab viisad" 
     e17 "kavatseb"  BEFORE-OR-OVERLAP  e21 "hoolitsema" 
     e18 "jõuda"  IS_INCLUDED  t3 "tuleva aasta 3. märtsil" 
     e18 "jõuda"  AFTER  DCT 

 s4  Hädavajaliku raha , 1980 dollari eest [e19 saab ] [e19 viisad ] , ülejäänu eest [e20 peavad ] enamalt jaolt [e21 hoolitsema ] sõbrad ja hea saatus .
     e19 "saab viisad"  OVERLAP-OR-AFTER  DCT 
     e19 "saab viisad"  BEFORE  e21 "hoolitsema" 
     e19 "saab viisad"  AFTER  e22 "vaatasin" 
     e19 "saab viisad"  AFTER  e23 "tundus" 
     e20 "peavad"  AFTER  DCT 
     e20 "peavad"  BEFORE-OR-OVERLAP  e21 "hoolitsema" 
     e21 "hoolitsema"  AFTER  DCT 
     e21 "hoolitsema"  AFTER  e22 "vaatasin" 
     e21 "hoolitsema"  AFTER  e23 "tundus" 

 s5  " Nõukogude ajal [e22 vaatasin ] igatsusega maailmakaardile , Austraalia [e23 tundus ] mulle nagu kosmos .
     e22 "vaatasin"  BEFORE  DCT 
     e22 "vaatasin"  SIMULTANEOUS  e23 "tundus" 
     e22 "vaatasin"  BEFORE  e24 "on" 
     e22 "vaatasin"  BEFORE  e26 "ütleb" 
     e23 "tundus"  BEFORE  DCT 
     e23 "tundus"  BEFORE  e24 "on" 
     e23 "tundus"  BEFORE  e26 "ütleb" 

 s6  [t4 Nüüd ] [e24 on ] aeg ja võimalus [e25 minna ] , " [e26 ütleb ] tatari rahvusest julgur , kes [t5 viis aastat tagasi ] Tartu Raekoja kella [e27 remontis ] , [t6 nüüd ] aga [e28 soovib ] inglaste [t7 19. sajandil ] [e29 ehitatud ] koloniaalraudteel läbi Pakistani mägede [e30 sõita ] .
     e24 "on"  SIMULTANEOUS  t4 "Nüüd" 
     e24 "on"  INCLUDES  DCT 
     e24 "on"  INCLUDES  e25 "minna" 
     e24 "on"  INCLUDES  e26 "ütleb" 
     e24 "on"  INCLUDES  e31 "saa" 
     e25 "minna"  AFTER  DCT 
     e25 "minna"  AFTER  e26 "ütleb" 
     e26 "ütleb"  BEFORE-OR-OVERLAP  DCT 
     e26 "ütleb"  AFTER  e27 "remontis" 
     e26 "ütleb"  BEFORE  e31 "saa" 
     e27 "remontis"  IS_INCLUDED  t5 "viis aastat tagasi" 
     e27 "remontis"  BEFORE  DCT 
     e27 "remontis"  BEFORE  e28 "soovib" 
