==================================================
     aja_pm_2000_10_04.tasak.a044.sol
      DCT: 2000-10-04
==================================================
 s0  Kuigi Haabersti linnaosa endine peaarhitekt Riho Hürden [e1 oli ] [t1 eile ] [e1 valmis ] Tallinna linnakohtust [e2 lahkuma ] kas süütu või süüdlasena , [e3 jäi ] ta mõlemast tiitlist ilma , sest kohus [e4 saatis ] ta kriminaalasja kaitsepolitseisse täiendavale [e5 eeluurimisele ] .
     e1 "oli valmis"  IS_INCLUDED  t1 "eile" 
     e1 "oli valmis"  BEFORE  DCT 
     e1 "oli valmis"  BEFORE-OR-OVERLAP  e2 "lahkuma" 
     e1 "oli valmis"  BEFORE  e3 "jäi" 
     e2 "lahkuma"  BEFORE  DCT 
     e2 "lahkuma"  BEFORE  e3 "jäi" 
     e3 "jäi"  BEFORE  DCT 
     e3 "jäi"  BEFORE-OR-OVERLAP  e4 "saatis" 
     e3 "jäi"  BEFORE  e6 "ruttas" 
     e4 "saatis"  BEFORE  DCT 
     e4 "saatis"  BEFORE  e5 "eeluurimisele" 
     e5 "eeluurimisele"  BEFORE-OR-OVERLAP  DCT 

 s1  Selg higine , [e6 ruttas ] Hürden pärast kohtumääruse [e7 ärakuulamist ] trepist alla .
     e6 "ruttas"  BEFORE  DCT 
     e6 "ruttas"  AFTER  e7 "ärakuulamist" 
     e6 "ruttas"  INCLUDES  e8 "lennutas" 
     e7 "ärakuulamist"  BEFORE  DCT 

 s2  Käigu pealt [e8 lennutas ] ta üle õla lause : " [e9 Terror ] kaitsepolitsei ja prokuratuuri poolt [e10 jätkub ] ! "
     e8 "lennutas"  BEFORE  DCT 
     e8 "lennutas"  IS_INCLUDED  e10 "jätkub" 
     e8 "lennutas"  AFTER  e11 "süüdistas" 
     e8 "lennutas"  AFTER  e15 "valgustanud" 
     e9 "Terror"  VAGUE  DCT 
     e9 "Terror"  SIMULTANEOUS  e10 "jätkub" 
     e10 "jätkub"  BEFORE-OR-OVERLAP  DCT 

 s3  [t2 Päev varem ] [e11 süüdistas ] Hürden oma viimases [e12 sõnas ] samu ametkondi räiges [e13 seaduserikkumises ] , tema korruptsioonimaigulisi [e14 tegusid ] [e15 valgustanud ] ajakirjandust aga haiglases verejanus .
     e11 "süüdistas"  IS_INCLUDED  t2 "Päev varem" 
     e11 "süüdistas"  BEFORE  DCT 
     e11 "süüdistas"  AFTER  e13 "seaduserikkumises" 
     e11 "süüdistas"  AFTER  e14 "tegusid" 
     e11 "süüdistas"  AFTER  e15 "valgustanud" 
     e11 "süüdistas"  IS_INCLUDED  e12 "sõnas" 
     e11 "süüdistas"  AFTER  e16 "tekitatud kahju" 
     e11 "süüdistas"  AFTER  e17 "rikutud" 
     e11 "süüdistas"  INCLUDES  e18 "sõnas" 
     e12 "sõnas"  BEFORE  DCT 
     e13 "seaduserikkumises"  BEFORE  DCT 
     e14 "tegusid"  BEFORE  DCT 
     e14 "tegusid"  BEFORE  e15 "valgustanud" 
     e15 "valgustanud"  BEFORE  DCT 
     e15 "valgustanud"  BEFORE  e18 "sõnas" 
     e15 "valgustanud"  SIMULTANEOUS  e16 "tekitatud kahju" ka VAGUE
     e15 "valgustanud"  SIMULTANEOUS  e17 "rikutud" ka VAGUE

 s4  " Mulle on [e16 tekitatud ] palju teenimatut [e16 kahju ] , minu maine ja tervis on [e17 rikutud ] , " [e18 sõnas ] Hürden .
     e16 "tekitatud kahju"  BEFORE  DCT 
