==================================================
     aja_pm_2000_10_04.tasak.a047.sol
      DCT: 2000-10-04
==================================================
 s0  Hundipea sadamas jäämurdja Tarmo naabruses oma saatust [e1 ootav ] muuseumilaev Suur Tõll [e2 võib ] uude koju Admiraliteedi basseinis [e3 jõuda ] [t1 selle kuu lõpuks ] , kuid alles siis , kui vajalik [e4 kokkulepe ] Tallinna Sadama ja Eesti Meremuuseumi vahel [e5 saab ] [e6 sõlmitud ] .
     e1 "ootav"  INCLUDES  DCT 
     e1 "ootav"  BEFORE  e3 "jõuda" 
     e2 "võib"  OVERLAP-OR-AFTER  DCT 
     e3 "jõuda"  BEFORE-OR-OVERLAP  t1 "selle kuu lõpuks" 
     e3 "jõuda"  AFTER  DCT 
     e3 "jõuda"  AFTER  e6 "sõlmitud" 
     e3 "jõuda"  AFTER  e7 "ütles" 
     e3 "jõuda"  AFTER  e8 "täpsustanud" 
     e4 "kokkulepe"  AFTER  DCT 
     e4 "kokkulepe"  OVERLAP-OR-AFTER  e6 "sõlmitud" 
     e5 "saab"  AFTER  DCT 
     e5 "saab"  BEFORE-OR-OVERLAP  e6 "sõlmitud" 
     e6 "sõlmitud"  AFTER  DCT 

 s1  Eesti Meremuuseumi direktor Urmas Dresen [e7 ütles ] , et [t2 seni ] on Tallinna Sadam ja meremuuseum jäämurdja Admiraliteedi basseini lubava lepingu punkte [e8 täpsustanud ] .
     e7 "ütles"  BEFORE-OR-OVERLAP  DCT 
     e7 "ütles"  OVERLAP-OR-AFTER  e8 "täpsustanud" 
     e7 "ütles"  IS_INCLUDED  e10 "tulnud" 
     e7 "ütles"  IS_INCLUDED  e9 "on" 
     e7 "ütles"  SIMULTANEOUS  e11 "sõnas" ka VAGUE
     e8 "täpsustanud"  BEFORE-OR-OVERLAP  t2 "seni" 
     e8 "täpsustanud"  BEFORE-OR-OVERLAP  DCT 
     e8 "täpsustanud"  BEFORE-OR-OVERLAP  e10 "tulnud" 
     e8 "täpsustanud"  BEFORE-OR-OVERLAP  e11 "sõnas" 
     e8 "täpsustanud"  BEFORE-OR-OVERLAP  e9 "on" 

 s2  " [t3 Praegu ] [e9 on ] lepingu projekt Tallinna Sadamas , vastust sellele pole veel [e10 tulnud ] , " [e11 sõnas ] Dresen .
     e9 "on"  SIMULTANEOUS  t3 "Praegu" 
     e9 "on"  INCLUDES  DCT 
     e9 "on"  INCLUDES  e10 "tulnud" 
     e9 "on"  INCLUDES  e11 "sõnas" 
     e9 "on"  BEFORE-OR-OVERLAP  e18 "hakata" 
     e9 "on"  INCLUDES  e12 "lisas" 
     e10 "tulnud"  BEFORE-OR-OVERLAP  DCT 
     e10 "tulnud"  INCLUDES  e11 "sõnas" 
     e10 "tulnud"  BEFORE-OR-OVERLAP  e18 "hakata" 
     e10 "tulnud"  INCLUDES  e12 "lisas" 
     e11 "sõnas"  BEFORE-OR-OVERLAP  DCT 
     e11 "sõnas"  BEFORE  e12 "lisas" 
     e11 "sõnas"  BEFORE  e18 "hakata" 

 s3  Urmas Dresen [e12 lisas ] , et ehkki muuseum on [t4 tänaseks ] põhimõtteliselt kokku [e13 leppinud ] ka basseini [e14 süvendama ] [e15 hakkava ] ettevõttega , ei [e16 saa ] too enne midagi [e17 tegema ] [e18 hakata ] , kui sadama ja muuseumi vahel [e19 pole ] kindlat [e19 kokkulepet ] Suure Tõllu [e20 ületoomise ] kohta .
     e12 "lisas"  BEFORE-OR-OVERLAP  DCT 
     e12 "lisas"  BEFORE-OR-OVERLAP  e18 "hakata" 
     e12 "lisas"  BEFORE-OR-OVERLAP  e24 "selgitas" 
     e12 "lisas"  BEFORE  e22 "sõlmida" 
     e13 "leppinud"  BEFORE-OR-OVERLAP  t4 "tänaseks" 
     e13 "leppinud"  BEFORE  DCT 
     e13 "leppinud"  BEFORE  e15 "hakkava" 
     e13 "leppinud"  BEFORE  e18 "hakata" 
     e14 "süvendama"  AFTER  DCT 
     e14 "süvendama"  OVERLAP-OR-AFTER  e15 "hakkava" 
     e15 "hakkava"  OVERLAP-OR-AFTER  DCT 
     e16 "saa"  INCLUDES  DCT 
     e17 "tegema"  AFTER  DCT 
     e17 "tegema"  OVERLAP-OR-AFTER  e18 "hakata" 
     e18 "hakata"  OVERLAP-OR-AFTER  DCT 
     e18 "hakata"  OVERLAP-OR-AFTER  e19 "pole kokkulepet" 
     e18 "hakata"  AFTER  e24 "selgitas" 
     e18 "hakata"  OVERLAP-OR-AFTER  e22 "sõlmida" 
     e19 "pole kokkulepet"  BEFORE  e20 "ületoomise" 
