==================================================
     aja_sloleht_2007_12_17.tasak.a004.sol
      DCT: 2007-12-17
==================================================
 s0  Kohtus [e1 andis ] [e2 tunnistusi ] modell Kelly Fisher , kes [e3 oli ] Dodi [e3 kallim ] [t1 1997. aastal ] .
     e1 "andis"  BEFORE  DCT 
     e1 "andis"  AFTER  e3 "oli kallim" 
     e1 "andis"  VAGUE  e2 "tunnistusi" 
     e1 "andis"  AFTER  e5 "kuulis" 
     e1 "andis"  AFTER  e8 "uskus" 
     e1 "andis"  INCLUDES  e4 "ütles" 
     e2 "tunnistusi"  BEFORE  DCT 
     e3 "oli kallim"  IS_INCLUDED  t1 "1997. aastal" 
     e3 "oli kallim"  BEFORE  DCT 

 s1  Ta [e4 ütles ] , et [e5 kuulis ] St. Tropezi [e6 minekust ] ja jahiga [e7 sõitmisest ] Dodi isalt ning [e8 uskus ] , et ta [e9 kutsutakse ] kaasa .
     e4 "ütles"  BEFORE  DCT 
     e4 "ütles"  AFTER  e5 "kuulis" 
     e4 "ütles"  AFTER  e10 "lükkas" 
     e4 "ütles"  AFTER  e12 "ütles" 
     e4 "ütles"  AFTER  e14 "jääma" 
     e5 "kuulis"  BEFORE  DCT 
     e5 "kuulis"  BEFORE-OR-OVERLAP  e8 "uskus" 
     e5 "kuulis"  BEFORE  e6 "minekust" 
     e5 "kuulis"  BEFORE  e10 "lükkas" 
     e5 "kuulis"  BEFORE  e12 "ütles" 
     e5 "kuulis"  BEFORE  e14 "jääma" 
     e6 "minekust"  BEFORE  DCT 
     e6 "minekust"  BEFORE  e7 "sõitmisest" 
     e7 "sõitmisest"  BEFORE  DCT 
     e8 "uskus"  BEFORE  DCT 
     e8 "uskus"  BEFORE  e9 "kutsutakse" 
     e8 "uskus"  BEFORE-OR-OVERLAP  e10 "lükkas" 
     e8 "uskus"  BEFORE-OR-OVERLAP  e12 "ütles" 
     e8 "uskus"  BEFORE  e14 "jääma" 
     e9 "kutsutakse"  BEFORE  DCT 

 s2  Dodi aga [e10 lükkas ] isa [e11 jutu ] ümber ning [e12 ütles ] Kellyle , et [e13 peab ] [e14 jääma ] Londonisse ega [e15 sõida ] kuhugi .
     e10 "lükkas"  BEFORE  DCT 
     e10 "lükkas"  AFTER  e11 "jutu" 
     e10 "lükkas"  BEFORE  e12 "ütles" 
     e10 "lükkas"  BEFORE  e16 "ilmus" ka VAGUE
     e11 "jutu"  BEFORE  DCT 
     e12 "ütles"  BEFORE  DCT 
     e12 "ütles"  BEFORE  e14 "jääma" 
     e12 "ütles"  BEFORE  e16 "ilmus" 
     e13 "peab"  BEFORE  DCT 
     e13 "peab"  VAGUE  e14 "jääma" 
     e14 "jääma"  BEFORE  DCT 
     e14 "jääma"  SIMULTANEOUS  e15 "sõida" 
     e14 "jääma"  BEFORE  e16 "ilmus" ka VAGUE
     e15 "sõida"  BEFORE  DCT 

 s3  [t2 6. augustil 1997 ] [e16 ilmus ] ühes ajalehes foto , kus Dodi ja Diana [e17 suudlevad ] . "
     e16 "ilmus"  IS_INCLUDED  t2 "6. augustil 1997" 
     e16 "ilmus"  BEFORE  DCT 
     e16 "ilmus"  AFTER  e17 "suudlevad" 
     e16 "ilmus"  BEFORE  e18 "soovitas" 
     e16 "ilmus"  BEFORE  e20 "kurdab" 
     e17 "suudlevad"  BEFORE  DCT 

 s4  Isa [e18 soovitas ] Dodi [e19 unustada ] , " [e20 kurdab ] Kelly .
