==================================================
     aja_sloleht_2007_12_17.tasak.a009.sol
      DCT: 2007-12-17
==================================================
 s0  V’RKPALL
 s1  Ei [e1 ole ] midagi uut siin vırkpallip‰ikese all . Eesti [e2 karikavıistluste ] [e3 finaali ] [e4 jıudsid ] Tallinna Selver ja Tartu Pere Leib ning 3 : 0 [e5 vıidu ] [e6 vıttis ] Selver .
     e1 "ole"  INCLUDES  DCT 
     e1 "ole"  INCLUDES  e4 "jıudsid" 
     e1 "ole"  INCLUDES  e6 "vıttis" 
     e1 "ole"  INCLUDES  e9 "j‰‰nud" 
     e2 "karikavıistluste"  BEFORE-OR-OVERLAP  DCT 
     e2 "karikavıistluste"  BEFORE-OR-OVERLAP  e3 "finaali" 
     e3 "finaali"  BEFORE  DCT 
     e3 "finaali"  OVERLAP-OR-AFTER  e4 "jıudsid" 
     e4 "jıudsid"  BEFORE  DCT 
     e4 "jıudsid"  BEFORE  e6 "vıttis" 
     e4 "jıudsid"  AFTER  e9 "j‰‰nud" 
     e5 "vıidu"  BEFORE  DCT 
     e5 "vıidu"  OVERLAP-OR-AFTER  e6 "vıttis" 
     e6 "vıttis"  BEFORE  DCT 
     e6 "vıttis"  AFTER  e9 "j‰‰nud" 

 s2  Tartlaste jıud oli Kuressaares [e7 peetud ] Final [e8 Fouril ] [e9 j‰‰nud ] [e10 poolfinaali ] , kus [e11 alistati ] P‰rnu VK 3 : 2 ( otsustav [e12 geim ] 16 : 14 ) .
     e7 "peetud"  BEFORE  DCT 
     e7 "peetud"  BEFORE-OR-OVERLAP  e8 "Fouril" 
     e8 "Fouril"  BEFORE  DCT 
     e8 "Fouril"  INCLUDES  e9 "j‰‰nud" 
     e9 "j‰‰nud"  BEFORE  DCT 
     e9 "j‰‰nud"  BEFORE-OR-OVERLAP  e11 "alistati" 
     e9 "j‰‰nud"  OVERLAP-OR-AFTER  e10 "poolfinaali" 
     e9 "j‰‰nud"  VAGUE  e14 "n‰inud" 
     e10 "poolfinaali"  BEFORE  DCT 
     e11 "alistati"  BEFORE  DCT 
     e11 "alistati"  AFTER  e12 "geim" 
     e12 "geim"  BEFORE  DCT 

 s3  Selver oli [e13 poolfinaalis ] [e14 n‰inud ] ¸llatavalt suurt vaeva Sylvesteriga , [e15 vıites ] 3 : 1 ( 15 , 23 , -22 , 23 ) .
     e13 "poolfinaalis"  BEFORE  DCT 
     e13 "poolfinaalis"  INCLUDES  e14 "n‰inud" 
     e14 "n‰inud"  BEFORE  DCT 
     e14 "n‰inud"  BEFORE-OR-OVERLAP  e15 "vıites" 
     e14 "n‰inud"  AFTER  e16 "N‰gime" 
     e14 "n‰inud"  BEFORE  e20 "¸tles" 
     e15 "vıites"  BEFORE  DCT 

 s4  " [e16 N‰gime ] ette , et [t1 n‰dalavahetuse ] [e17 m‰ngud ] [e18 vıivad ] [e19 tulla ] k¸llalt [e19 rasked ] , " [e20 ¸tles ] Selveri peatreener Avo Keel .
     e16 "N‰gime"  BEFORE  DCT 
     e16 "N‰gime"  BEFORE  e19 "tulla rasked" 
     e16 "N‰gime"  BEFORE  e20 "¸tles" 
     e16 "N‰gime"  IS_INCLUDED  e22 "olnud tihe" 
     e17 "m‰ngud"  IS_INCLUDED  t1 "n‰dalavahetuse" 
     e17 "m‰ngud"  BEFORE  DCT 
     e17 "m‰ngud"  SIMULTANEOUS  e19 "tulla rasked" 
     e18 "vıivad"  BEFORE  DCT 
     e18 "vıivad"  BEFORE-OR-OVERLAP  e19 "tulla rasked" 
     e19 "tulla rasked"  BEFORE  DCT 
     e20 "¸tles"  BEFORE-OR-OVERLAP  DCT 
     e20 "¸tles"  IS_INCLUDED  e22 "olnud tihe" 

 s5  " [t2 Detsembrikuu ] [e21 m‰ngudegraafik ] on [e22 olnud ] v‰ga [e22 tihe ] .
     e21 "m‰ngudegraafik"  IS_INCLUDED  t2 "Detsembrikuu" 
     e21 "m‰ngudegraafik"  BEFORE-OR-OVERLAP  DCT 
     e21 "m‰ngudegraafik"  BEFORE-OR-OVERLAP  e22 "olnud tihe" 
     e22 "olnud tihe"  BEFORE  DCT 
     e22 "olnud tihe"  INCLUDES  e24 "pidas" 

 s6  Kui f¸¸siliselt [e23 oligi ] meestel [e23 raske ] , siis nende vaim [e24 pidas ] vastu . "
     e23 "oligi raske"  BEFORE  DCT 
     e23 "oligi raske"  SIMULTANEOUS  e24 "pidas" 
     e24 "pidas"  BEFORE  DCT 
     e24 "pidas"  INCLUDES  e26 "andis" 

 s7  [e25 Finaalis ] [e26 andis ] Selver vastasele [e27 geimides ] vastavalt 20 , 23 ja 22 punkti , [e28 vıites ] raskemalt kui [t3 hiljuti ] Balti liiga [e29 m‰ngus ] Tartus .
     e25 "Finaalis"  BEFORE  DCT 
     e25 "Finaalis"  INCLUDES  e26 "andis" 
     e26 "andis"  BEFORE  DCT 
     e26 "andis"  BEFORE  e28 "vıites" 
     e26 "andis"  IS_INCLUDED  e27 "geimides" 
     e26 "andis"  OVERLAP-OR-AFTER  e31 "p‰‰ses" 
     e26 "andis"  OVERLAP-OR-AFTER  e32 "hoidis" 
     e27 "geimides"  BEFORE  DCT 
     e28 "vıites"  BEFORE  DCT 
     e28 "vıites"  AFTER  e29 "m‰ngus" 
     e29 "m‰ngus"  SIMULTANEOUS  t3 "hiljuti" 
     e29 "m‰ngus"  BEFORE  DCT 

 s8  Esimeses [e30 geimis ] [e31 p‰‰ses ] Selver kiiresti ette ja [e32 hoidis ] edu t‰nu heale servile k¸llalt kindlalt .
     e30 "geimis"  BEFORE  DCT 
     e30 "geimis"  INCLUDES  e31 "p‰‰ses" 
     e31 "p‰‰ses"  BEFORE  DCT 
     e31 "p‰‰ses"  BEFORE-OR-OVERLAP  e32 "hoidis" 
     e31 "p‰‰ses"  BEFORE  e34 "p‰‰ses" 
     e31 "p‰‰ses"  BEFORE  e35 "vıtsid" 
     e31 "p‰‰ses"  BEFORE  e36 "l‰ksid" 
     e31 "p‰‰ses"  BEFORE  e38 "hoidis" 
     e32 "hoidis"  BEFORE  DCT 
     e32 "hoidis"  BEFORE  e34 "p‰‰ses" 
     e32 "hoidis"  BEFORE  e35 "vıtsid" 
     e32 "hoidis"  BEFORE  e36 "l‰ksid" 
     e32 "hoidis"  BEFORE  e38 "hoidis" 

 s9  Teises [e33 geimis ] [e34 p‰‰ses ] omakorda Pere Leib ette 14 : 9 , aga pealinlased [e35 vıtsid ] kohe j‰rele ja [e36 l‰ksid ] ettegi 20 : 17. Ka kolmandas [e37 geimis ] [e38 hoidis ] Selver kerget initsiatiivi .
     e33 "geimis"  BEFORE  DCT 
     e33 "geimis"  INCLUDES  e34 "p‰‰ses" 
     e34 "p‰‰ses"  BEFORE  DCT 
     e34 "p‰‰ses"  BEFORE  e35 "vıtsid" 
     e34 "p‰‰ses"  BEFORE  e38 "hoidis" 
     e34 "p‰‰ses"  BEFORE  e44 "tıdes" 
     e34 "p‰‰ses"  VAGUE  e39 "saime" 
     e34 "p‰‰ses"  VAGUE  e40 "tuli" 
     e35 "vıtsid"  BEFORE  DCT 
     e35 "vıtsid"  BEFORE  e36 "l‰ksid" 
     e35 "vıtsid"  BEFORE  e44 "tıdes" 
     e35 "vıtsid"  VAGUE  e39 "saime" 
     e35 "vıtsid"  VAGUE  e40 "tuli" 
     e36 "l‰ksid"  BEFORE  DCT 
     e36 "l‰ksid"  BEFORE  e38 "hoidis" 
     e36 "l‰ksid"  BEFORE  e44 "tıdes" 
     e36 "l‰ksid"  VAGUE  e39 "saime" 
     e36 "l‰ksid"  VAGUE  e40 "tuli" 
     e37 "geimis"  BEFORE  DCT 
     e37 "geimis"  INCLUDES  e38 "hoidis" 
     e38 "hoidis"  BEFORE  DCT 
     e38 "hoidis"  BEFORE  e44 "tıdes" 
     e38 "hoidis"  VAGUE  e39 "saime" 
