==================================================
     aja_sloleht_2007_12_17.tasak.a039.sol
      DCT: 2007-12-17
==================================================
 s0  [t1 Jüripäeva hommikul ] [e1 ärkas ] kahe lapsega üksi kodus [e2 olnud ] Inga Sepp [e3 sünnitusvalu ] peale ning [e4 hakkas ] end haiglasse [e5 minekuks ] [e6 sättima ] . Juba [t2 tunni aja ] pärast [e7 tuli ] aga pisitütar [e7 ilmale ] .
     e1 "ärkas"  IS_INCLUDED  t1 "Jüripäeva hommikul" 
     e1 "ärkas"  BEFORE  DCT 
     e1 "ärkas"  BEFORE  e4 "hakkas" 
     e1 "ärkas"  BEFORE  e7 "tuli ilmale" 
     e1 "ärkas"  IS_INCLUDED  e2 "olnud" 
     e1 "ärkas"  IS_INCLUDED  e3 "sünnitusvalu" 
     e1 "ärkas"  BEFORE  e10 "oli" 
     e2 "olnud"  BEFORE  DCT 
     e3 "sünnitusvalu"  BEFORE  DCT 
     e4 "hakkas"  BEFORE  DCT 
     e4 "hakkas"  BEFORE-OR-OVERLAP  e6 "sättima" 
     e4 "hakkas"  BEFORE  e5 "minekuks" 
     e4 "hakkas"  BEFORE  e7 "tuli ilmale" 
     e4 "hakkas"  BEFORE  e10 "oli" 
     e5 "minekuks"  BEFORE  DCT 
     e5 "minekuks"  AFTER  e6 "sättima" 
     e6 "sättima"  BEFORE  DCT 
     e7 "tuli ilmale"  OVERLAP-OR-AFTER  t2 "tunni aja" 
     e7 "tuli ilmale"  BEFORE  DCT 
     e7 "tuli ilmale"  IS_INCLUDED  e10 "oli" 

 s1  Ootamatult [e8 alanud ] [e9 kodusünnituse ] juures [e10 oli ] Inga suurimaks abiliseks [t3 12aastane ] poeg Timo Tomson .
     e8 "alanud"  BEFORE  DCT 
     e8 "alanud"  BEFORE-OR-OVERLAP  e9 "kodusünnituse" 
     e9 "kodusünnituse"  BEFORE  DCT 
     e9 "kodusünnituse"  INCLUDES  e10 "oli" 
     e10 "oli"  BEFORE  DCT 
     e10 "oli"  AFTER  e15 "nägin" 
     e10 "oli"  BEFORE  e14 "vastab" 

 s2  [e11 Küsimusele ] , kuidas küll poiss niisugusel erakordsel puhul [e12 tegutseda ] [e13 oskas ] , [e14 vastab ] noorsand krapsilt : " Filmis [e15 nägin ] ! "
     e11 "Küsimusele"  BEFORE-OR-OVERLAP  DCT 
