==================================================
     aja_sloleht_2007_12_17.tasak.a040.sol
      DCT: 2007-12-17
==================================================
 s0  [t1 Kolmapäevaõhtuses ] Tartu Peetri kirikus [e1 suutis ] Lauri Pihlap Michael Jacksoni loosse " Earth Song " nii palju talle omast Justin Timberlake'i tämbrit [e2 panna ] , et kinnisilmi [e3 võiski ] end selle laulja [e4 kontserdile ] [e5 unistada ] . Rolf Roosalu peaaegu falsetini [e6 viidud ] hääl laulus " O Holy Night " [e7 pani ] aga kuulajad vaimustusest [e8 kiljuma ] .
     e1 "suutis"  BEFORE  DCT 
     e1 "suutis"  BEFORE-OR-OVERLAP  e2 "panna" 
     e1 "suutis"  BEFORE-OR-OVERLAP  e5 "unistada" 
     e1 "suutis"  VAGUE  e7 "pani" 
     e1 "suutis"  AFTER  e9 "on naeruväärne" 
     e2 "panna"  BEFORE  DCT 
     e2 "panna"  SIMULTANEOUS  e5 "unistada" 
     e3 "võiski"  BEFORE  DCT 
     e3 "võiski"  VAGUE  e5 "unistada" 
     e4 "kontserdile"  VAGUE  DCT 
     e4 "kontserdile"  SIMULTANEOUS  e5 "unistada" ka VAGUE
     e5 "unistada"  BEFORE  DCT 
     e6 "viidud"  BEFORE  DCT 
     e6 "viidud"  INCLUDES  e7 "pani" 
     e6 "viidud"  INCLUDES  e8 "kiljuma" 
     e7 "pani"  BEFORE  DCT 
     e7 "pani"  BEFORE-OR-OVERLAP  e8 "kiljuma" 
     e7 "pani"  AFTER  e9 "on naeruväärne" 
     e8 "kiljuma"  BEFORE  DCT 

 s1  " See [e9 on ] [e9 naeruväärne ] !
     e9 "on naeruväärne"  BEFORE  DCT 
     e9 "on naeruväärne"  INCLUDES  e12 "toriseb" 
     e9 "on naeruväärne"  SIMULTANEOUS  e10 "tahab" ka VAGUE

 s2  Kes küll [e10 tahab ] siia [e11 tulla ] ? ! " [e12 toriseb ] istekohta [e13 otsiv ] ingliskeelne välismaalane [t2 kolmapäeva õhtul ] Tartus puupüsti täis Peetri kirikus .
     e10 "tahab"  BEFORE  DCT 
     e10 "tahab"  BEFORE-OR-OVERLAP  e11 "tulla" 
     e10 "tahab"  INCLUDES  e12 "toriseb" 
     e10 "tahab"  SIMULTANEOUS  e14 "koguneb" ka VAGUE
     e11 "tulla"  BEFORE  DCT 
     e11 "tulla"  VAGUE  e12 "toriseb" 
     e12 "toriseb"  IS_INCLUDED  t2 "kolmapäeva õhtul" 
     e12 "toriseb"  BEFORE  DCT 
     e12 "toriseb"  IS_INCLUDED  e13 "otsiv" 
     e12 "toriseb"  IS_INCLUDED  e14 "koguneb" 
     e13 "otsiv"  BEFORE  DCT 

 s3  Ometi [e14 koguneb ] " Valge gospeli " [e15 jõulukontserdile ] juba [t3 teist aastat ] järjest sadu inimesi .
     e14 "koguneb"  IS_INCLUDED  t3 "teist aastat" 
     e14 "koguneb"  BEFORE  DCT 
     e14 "koguneb"  BEFORE-OR-OVERLAP  e15 "jõulukontserdile" 
     e14 "koguneb"  SIMULTANEOUS  e20 "on rahulolevad" 
     e15 "jõulukontserdile"  BEFORE  DCT 

 s4  Ehkki hea koha [e16 saamiseks ] oleks [e17 pidanud ] kirikusse [e18 tulema ] juba [t4 tund aega ] enne [e19 kontserti ] , [e20 on ] kõik siiski [e20 rahulolevad ] ( mõne välismaalasest erandiga , kelles [e21 võimalus ] Mikk Saart ja Raimondo Laikret [e22 laulmas ] [e23 näha ] ilmselt nii suurt elevust ei [e24 tekita ] ) .
     e16 "saamiseks"  BEFORE  DCT 
     e16 "saamiseks"  OVERLAP-OR-AFTER  e18 "tulema" 
     e17 "pidanud"  BEFORE  DCT 
     e17 "pidanud"  VAGUE  e18 "tulema" 
     e18 "tulema"  BEFORE-OR-OVERLAP  t4 "tund aega" 
     e18 "tulema"  BEFORE  DCT 
     e18 "tulema"  BEFORE  e19 "kontserti" 
     e18 "tulema"  BEFORE  e20 "on rahulolevad" 
     e19 "kontserti"  OVERLAP-OR-AFTER  t4 "tund aega" 
     e19 "kontserti"  BEFORE  DCT 
     e20 "on rahulolevad"  BEFORE  DCT 
     e20 "on rahulolevad"  SIMULTANEOUS  e24 "tekita" 
     e20 "on rahulolevad"  BEFORE-OR-OVERLAP  e26 "karga" 
     e21 "võimalus"  BEFORE  DCT 
     e21 "võimalus"  BEFORE-OR-OVERLAP  e23 "näha" 
     e21 "võimalus"  BEFORE-OR-OVERLAP  e24 "tekita" 
     e22 "laulmas"  BEFORE  DCT 
     e22 "laulmas"  SIMULTANEOUS  e23 "näha" 
     e23 "näha"  BEFORE  DCT 
     e24 "tekita"  BEFORE  DCT 

 s5  Eestlased [e25 gospelkontserdil ] vaimustusega püsti ei [e26 karga ]
     e25 "gospelkontserdil"  BEFORE  DCT 
     e25 "gospelkontserdil"  INCLUDES  e26 "karga" 
     e26 "karga"  BEFORE  DCT 
     e26 "karga"  OVERLAP-OR-AFTER  e29 "julgustab" 
     e26 "karga"  VAGUE  e28 "tantsida" 

 s6  Inimesed [e27 võiksid ] vabalt kas või [e28 tantsida ] , [e29 julgustab ] laulja Lauri Pihlap [e30 kontserdi ] avasõnu [e31 lausudes ] .
     e27 "võiksid"  BEFORE  DCT 
     e27 "võiksid"  VAGUE  e28 "tantsida" 
     e28 "tantsida"  BEFORE  DCT 
     e28 "tantsida"  OVERLAP-OR-AFTER  e29 "julgustab" 
     e28 "tantsida"  VAGUE  e32 "jäävad" 
     e28 "tantsida"  VAGUE  e33 "aita" 
     e29 "julgustab"  BEFORE  DCT 
     e29 "julgustab"  IS_INCLUDED  e30 "kontserdi" 
     e29 "julgustab"  IS_INCLUDED  e31 "lausudes" 
